titre;prix;surface;chambres;salles_bain;garage;ville;quartier;lien;image;prix_m2
Appartement A vendre;210000.0;32.0;;1;;Sceaux;Avenue Alphonse Cherrier;https://french-immobilier.com/property/parc-de-sceaux-studio-32-m%c2%b2-balcon/;https://french-immobilier.com/wp-content/uploads/2025/09/IMG_20250918_145514_edit_279959305566796-770x460.jpg;6562.5
Appartement A vendre;335000.0;60.0;2.0;1;;Sceaux;Rue des Chéneaux;https://french-immobilier.com/property/appartement-3-pieces-45-m%c2%b2-jardin-privatif-47-m%c2%b2/;https://french-immobilier.com/wp-content/uploads/2025/09/EXCLU-3-770x460.jpg;5583.333333333333
Appartement A vendre;600000.0;126.0;4.0;2;1.0;Fontenay-aux-Roses;Quartier Robinson;https://french-immobilier.com/property/appartement-6-pieces-12677-m%c2%b2-4-chambres/;https://french-immobilier.com/wp-content/uploads/2025/09/sous-offre-1-770x460.jpg;4761.9047619047615
Appartement A vendre;600000.0;67.0;2.0;1;1.0;Sceaux;Rue Michel Voisin;https://french-immobilier.com/property/2665/;https://french-immobilier.com/wp-content/uploads/2025/07/sous-offre-2-770x460.jpg;8955.223880597016
Maison A vendre;990000.0;235.0;6.0;3;2.0;Châtenay-Malabry;Rue des Grillons;https://french-immobilier.com/property/maison-darchitecte-8-pieces-235-m%c2%b2-terrain-550-m%c2%b2/;https://french-immobilier.com/wp-content/uploads/2025/04/exclusivite-2-770x460.jpg;4212.765957446809
Maison A vendre;900000.0;186.0;6.0;2;1.0;Châtenay-Malabry;Face à l'Arboretum;https://french-immobilier.com/property/maison-8-pieces-200-m%c2%b2-terrain-855-m%c2%b2-face-a-larboretum/;https://french-immobilier.com/wp-content/uploads/2025/04/exclusivite-5-770x460.jpg;4838.709677419355
Appartement A vendre;550000.0;90.0;3.0;1;1.0;Sceaux;Résidence Alexia;https://french-immobilier.com/property/appartement-4-pieces-90-m%c2%b2-terrasse-vue-degagee/;https://french-immobilier.com/wp-content/uploads/2025/04/SOUS-COMPROMIS-3-770x460.jpg;6111.111111111111
Appartement A vendre;380000.0;71.0;2.0;1;2.0;Sceaux;Résidence Les Jardins d'Orion;https://french-immobilier.com/property/appartement-3-pieces-71-m%c2%b2-terrasses-sceaux/;https://french-immobilier.com/wp-content/uploads/2024/10/VENDU-770x460.jpg;5352.112676056338
Appartement A vendre;280000.0;63.0;3.0;1;1.0;Sceaux;Rue des Filmins;https://french-immobilier.com/property/appartement-4-pieces-balcon-plein-sud/;https://french-immobilier.com/wp-content/uploads/2024/04/VENDU-770x460.jpg;4444.444444444444
Appartement A vendre;450000.0;88.0;3.0;2;2.0;Le Plessis-Robinson;Coeur de Ville;https://french-immobilier.com/property/appartement-4-pieces-coeur-de-ville/;https://french-immobilier.com/wp-content/uploads/2023/05/VENDU-3-770x460.jpg;5113.636363636364
Maison A vendre;640000.0;135.0;4.0;2;1.0;Bagneux;Limitrophe Sceaux;https://french-immobilier.com/property/maison-appartement-5-pieces-135-m%c2%b2-jardin-de-475-m%c2%b2-bagneux-limite-sceaux/;https://french-immobilier.com/wp-content/uploads/2023/02/VENDU-770x460.jpg;4740.740740740741
Appartement A vendre;435000.0;65.0;2.0;1;1.0;Le Plessis-Robinson;Chemin des Ecoles;https://french-immobilier.com/property/appartement-3-pieces-balcon-loggia-coeur-de-ville/;https://french-immobilier.com/wp-content/uploads/2022/06/VENDU-770x460.jpg;6692.307692307692
Appartement A vendre;170000.0;25.0;1.0;1;;Sceaux;Rue des Aulnes;https://french-immobilier.com/property/studio-appartement-1-piece-25-m%c2%b2-rer-sceaux/;https://french-immobilier.com/wp-content/uploads/2022/05/template-770x460.jpg;6800.0
Appartement A vendre;900000.0;111.0;3.0;2;2.0;Sceaux;Rue de Penthièvre;https://french-immobilier.com/property/appartement-5-pieces-111-m%c2%b2-jardin-de-400-m%c2%b2-sceaux-centre/;https://french-immobilier.com/wp-content/uploads/2022/05/template-1-770x460.jpg;8108.108108108108
Appartement A vendre;435000.0;70.0;3.0;1;1.0;Bourg-la-Reine;Centre-ville;https://french-immobilier.com/property/appartement-4-pieces-70-m%c2%b2-balcon-centre-ville/;https://french-immobilier.com/wp-content/uploads/2022/05/WithBanniere19-770x460.jpg;6214.285714285715
Appartement A vendre;346500.0;68.0;2.0;1;1.0;Le Plessis-Robinson;Rue Edmond About;https://french-immobilier.com/property/appartement-3-pieces-68-m%c2%b2-balcon-box/;https://french-immobilier.com/wp-content/uploads/2022/05/WithBanniere18-770x460.jpg;5095.588235294118
Appartement A vendre;280000.0;66.0;1.0;1;;Fontenay-aux-Roses;Rue Boucicaut;https://french-immobilier.com/property/appartement-2-pieces-66-m%c2%b2-centre-ville/;https://french-immobilier.com/wp-content/uploads/2022/05/WithBanniere20-770x460.jpg;4242.424242424242
Appartement A vendre;459000.0;65.0;2.0;1;2.0;Le Plessis-Robinson;Rue du Carreau;https://french-immobilier.com/property/appartement-3-pieces-66-m%c2%b2-terrasse-loggia-cite-jardins-coeur-de-ville/;https://french-immobilier.com/wp-content/uploads/2021/08/WithBanniere2-770x460.jpg;7061.538461538462
Appartement A vendre;449000.0;68.0;2.0;1;1.0;Le Plessis-Robinson;Cœur de Ville;https://french-immobilier.com/property/appartement-3-pieces-terrasse-loggia-coeur-de-ville/;https://french-immobilier.com/wp-content/uploads/2021/06/WithBanniere1-770x460.jpg;6602.941176470588
Appartement A vendre;649000.0;89.0;3.0;2;2.0;Le Plessis-Robinson;Cité-Jardins;https://french-immobilier.com/property/appartement-4-pieces-terrasse-dernier-etage-cite-jardins/;https://french-immobilier.com/wp-content/uploads/2021/05/WithBanniere4-770x460.jpg;7292.134831460674
Appartement A vendre;260000.0;41.0;1.0;1;1.0;Le Plessis Robinson;Rue du Moulin Fidel;https://french-immobilier.com/property/appartement-2-pieces-41-m%c2%b2-balcon-vallee-aux-loups/;https://french-immobilier.com/wp-content/uploads/2020/10/WithBanniere6-770x460.jpg;6341.463414634146
Appartement A vendre;265000.0;61.0;2.0;1;1.0;L'Hay Les Roses;Quartier Les Blondeaux;https://french-immobilier.com/property/appartement-3-pieces-terrasse-garage/;https://french-immobilier.com/wp-content/uploads/2020/09/WithBanniere7-770x460.jpg;4344.262295081967
Appartement A vendre;320000.0;65.0;2.0;1;;Le Plessis-Robinson;Rue Edmont About;https://french-immobilier.com/property/le-plessis-robinson-appartement-3-pieces-balcon/;https://french-immobilier.com/wp-content/uploads/2020/06/WithBanniere9-770x460.jpg;4923.076923076923
Appartement A vendre;295000.0;48.0;1.0;1;;Sceaux;Rue Houdan;https://french-immobilier.com/property/appartement-2-pieces-48-m%c2%b2-terrasse-sud-15m%c2%b2/;https://french-immobilier.com/wp-content/uploads/2020/06/WithBanniere8-770x460.jpg;6145.833333333333
Appartement A vendre;155000.0;21.0;;1;;Chatenay Malabry;Rue Guynemer;https://french-immobilier.com/property/parc-de-sceaux-coulee-verte-studio-de-21-m%c2%b2/;https://french-immobilier.com/wp-content/uploads/2020/01/WithBanniere15-770x460.jpg;7380.952380952381
Maison A vendre;1268000.0;195.0;5.0;3;1.0;Bourg la Reine;92340;https://french-immobilier.com/property/bourg-la-reine-maison-6-pieces-studio-independant/;https://french-immobilier.com/wp-content/uploads/2020/01/WithBanniere12-770x460.jpg;6502.5641025641025
Appartement A vendre;519000.0;78.0;3.0;1;1.0;Sceaux;92330;https://french-immobilier.com/property/sceaux-appartement-4-pieces-loggia/;https://french-immobilier.com/wp-content/uploads/2019/10/WithBanniere16-770x460.jpg;6653.846153846154
Appartement A vendre;310000.0;58.0;2.0;1;;Sceaux;92330, France;https://french-immobilier.com/property/sceaux-appartement-3-pieces-2/;https://french-immobilier.com/wp-content/uploads/2019/05/WithBanniere13-770x460.jpg;5344.827586206897
Appartement A vendre;299000.0;61.0;2.0;1;;Sceaux, Robinson;92330, France;https://french-immobilier.com/property/sceaux-appartement-3-pieces/;https://french-immobilier.com/wp-content/uploads/2019/04/WithBanniere14-770x460.jpg;4901.639344262295
Appartement A vendre;250000.0;46.0;1.0;1;1.0;Chatenay Malabry;92290, France;https://french-immobilier.com/property/sceaux-chatenay-appartement-2-pieces/;https://french-immobilier.com/wp-content/uploads/2019/03/WithBanniere17-770x460.jpg;5434.782608695652
